occurrenceID	catalogNumber	institutionCode	recordedBy	individualCount	YE	MO	DA	eventDate	Country col.	countryCode	stateProvince	lat	lon	County	Locality col.	Elevation	geodeticDatum	coordinateUncertaintyInMeters	identifiedBy	typeStatus	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	Full name	taxonRank	Authorship	Other name
urn:catalog:UWP:BIGU:11571	11571	University of White Plains	Vargas I	1	1979	1	11	1979-1-11	Guatemala	GT	Petén	17.5995834	-89.1693550	Melchor de Mencos	Bosque de El Ocaso	250	WGS84	6030	"Forero E.; Gentry A."		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tonduzii		Aechmea tonduzii	Species	Mez & Pittier ex Mez	
urn:catalog:UWP:BIGU:11599	11599	University of White Plains	Vargas I	1	1979	1	11	1979-1-11	Guatemala	GT	Petén	17.6719406	-89.2924027	Melchor de Mencos	Bosque de San Rafael, cerca de Parque Puracé	250	WGS84	6030	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	lingulata		Guzmania lingulata	Species	(L.) Mez	
urn:catalog:UWP:BIGU:11561	11561	University of White Plains	Vargas I	1	1979	1	12	1979-1-12	Guatemala	GT	Petén	17.3098632	-89.7846692	San Jose	Inspección El Capricho	100	WGS84	1530	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	dactylina		Aechmea dactylina	Species	Baker	
urn:catalog:UWP:BIGU:19788	19788	University of White Plains	Vargas I	1	1966	1	19	1966-1-19	Guatemala	GT	Petén	17.4543448	-89.6237693	Flores	Onzaga, quebrada de San Antonio		WGS84	2000	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mertensii		Aechmea mertensii	Species	(G. Mey.) Schult. & Schult. f.	
urn:catalog:UWP:BIGU:53271	53271	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.2856788	-89.4331085	Flores	Arroyo Mambu	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mexicana		Aechmea mexicana	Species	Baker	
urn:catalog:UWP:BIGU:53272	53272	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.2929461	-89.5642654	Flores	Arroyo Quiebra Barro	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mexicana		Aechmea mexicana	Species	Baker	
urn:catalog:UWP:BIGU:53273	53273	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.3031449	89.37348775	Flores	Arroyo Tabaco	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mexicana		Aechmea mexicana	Species	Baker	
urn:catalog:UWP:BIGU:53274	53274	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.3607576	-89.7366224	Flores	Arroyo Tabaco, confluencia con el río Ranchería	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mexicana		Aechmea mexicana	Species	Baker	
urn:catalog:UWP:BIGU:53355	53355	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.2687234	-89.4401353	Flores	Arroyo Kutamahana, cerca de Uribia	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tillandsioides		Aechmea tillandsioides	Species		
urn:catalog:UWP:BIGU:53356	53356	University of White Plains	Fonnegra R	1	1988	1	23	1988-1-23	Guatemala	GT	Petén	17.2742442	-89.6102276	Flores	Arroyo Macondo	514	WGS84	1972	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tillandsioides		Aechmea tillandsioides	Species		
urn:catalog:UWP:BIGU:76441	76441	University of White Plains	Betancur J	1	1990	1	25	1990-1-25	Guatemala	GT	Petén	17.5238526	-89.8696467	San Jose	Sitio Conejos	265	WGS84	2925	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	chantinii		Aechmea chantinii	Species	(Carrière) Baker	
urn:catalog:UWP:BIGU:76442	76442	University of White Plains	Betancur J	1	1990	1	25	1990-1-25	Guatemala	GT	Petén	17.5327108	-89.8173641	San Jose	Sitio Tinajas, afluente del río Tapartó	265	WGS84	2925	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	chantinii		Aechmea chantinii	Species	(Carrière) Baker	
urn:catalog:UWP:BIGU:74003	74003	University of White Plains	Ramírez J	1	1987	1	25	1987-1-25	Guatemala	GT	Petén	17.1746187	-89.7160371	Flores	Cerca del río	514	WGS84	1134	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	lingulata		Guzmania lingulata	Species	(L.) Mez	
urn:catalog:UWP:BIGU:76522	76522	University of White Plains	Betancur J	1	1990	1	26	1990-1-26	Guatemala	GT	Petén	17.6801714	-89.7954216	San Jose	Sumapaz, Laguna Tunjos	265	WGS84	2925	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	chantinii		Aechmea chantinii	Species	(Carrière) Baker	
urn:catalog:UWP:BIGU:76523	76523	University of White Plains	Betancur J	1	1990	1	26	1990-1-26	Guatemala	GT	Petén	17.6897503	-89.7562646	San Jose	Territorio Faunístico El Tuparro	265	WGS84	2925	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	chantinii		Aechmea chantinii	Species	(Carrière) Baker	
urn:catalog:UWP:BIGU:76524	76524	University of White Plains	Betancur J	1	1990	1	26	1990-1-26	Guatemala	GT	Petén	17.7507123	-89.7574374	San Jose	Uniflor Ltda.	265	WGS84	2925	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	chantinii		Aechmea chantinii	Species	(Carrière) Baker	
urn:catalog:UWP:BIGU:87783	87783	University of White Plains	Marulanda O	1	1990	1	27	1990-1-27	Guatemala	GT	Petén	17.5796965	-89.6816389	Flores	Pan de Azúcar	300	WGS84	3348	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	servitensis		Aechmea servitensis	Species		
urn:catalog:UWP:BIGU:87784	87784	University of White Plains	Marulanda O	1	1990	1	27	1990-1-27	Guatemala	GT	Petén	17.6063515	89.56756665	Flores	Paraje Dos Bocas, at the confluence of rio Porce and rio Nechí	300	WGS84	3348	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	servitensis		Aechmea servitensis	Species		
urn:catalog:UWP:BIGU:87785	87785	University of White Plains	Marulanda O	1	1990	1	27	1990-1-27	Guatemala	GT	Petén	17.6163915	-89.5112324	Flores	Páramo de Bolo Blanco	300	WGS84	3348	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	servitensis		Aechmea servitensis	Species		
urn:catalog:UWP:BIGU:168393	168393	University of White Plains	Betancur J	1	2002	1	27	2002-1-27	Guatemala	GT	Petén	17.4639024	-90.2841853	San Andres	Carretera a Barrancabermeja	328	WGS84	573	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Greigia			Greigia	Genus		Piñuela
urn:catalog:UWP:BIGU:168493	168493	University of White Plains	Betancur J	1	2002	1	27	2002-1-27	Guatemala	GT	Petén	17.4306479	-90.1144083	San Andres	Carare Opón, Las Colonias	328	WGS84	573	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Puya	santosii		Puya santosii	Species	Cuatrec.	Cardón
urn:catalog:UWP:BIGU:168494	168494	University of White Plains	Betancur J	1	2002	1	27	2002-1-27	Guatemala	GT	Petén	17.4434462	-90.9344213	San Andres	Carretera a Anzá	328	WGS84	573	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Puya	santosii		Puya santosii	Species	Cuatrec.	Cardón
urn:catalog:UWP:BIGU:183948	183948	University of White Plains	Betancur J	1	2002	1	27	2002-1-27	Guatemala	GT	Petén	17.4623564	-90.2182218	San Andres	Carretera a Bahía Concha	328	WGS84	573	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Puya	santosii		Puya santosii	Species	Cuatrec.	Cardón
urn:catalog:UWP:BIGU:63156	63156	University of White Plains	MacDougal J	1	1989	1	28	1989-1-28	Guatemala	GT	Petén	17.4878588	-89.4307913	Flores	Bahía Solano	255	WGS84	3166	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:63157	63157	University of White Plains	MacDougal J	1	1989	1	28	1989-1-28	Guatemala	GT	Petén	17.5124396	-89.6279568	Flores	Bajo Anchicayá	255	WGS84	3166	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:63158	63158	University of White Plains	MacDougal J	1	1989	1	28	1989-1-28	Guatemala	GT	Petén	17.5210947	-89.6328679	Flores	Bajo San Juan	255	WGS84	3166	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:75392	75392	University of White Plains	Betancur J	1	1990	1	29	1990-1-29	Guatemala	GT	Petén	17.7507123	-89.7574374	San Jose	Uniflor Ltda.	230	WGS84	6831	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	rubiginosa		Aechmea rubiginosa	Species	Mez	
urn:catalog:UWP:BIGU:75393	75393	University of White Plains	Betancur J	1	1990	1	29	1990-1-29	Guatemala	GT	Petén	17.7608007	-89.7571283	San Jose	Usme, laguna Chisacá	230	WGS84	6831	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	rubiginosa		Aechmea rubiginosa	Species	Mez	
urn:catalog:UWP:BIGU:75394	75394	University of White Plains	Betancur J	1	1990	1	29	1990-1-29	Guatemala	GT	Petén	17.7889171	-89.8960098	San Jose	Usme, páramo de Sumapaz	230	WGS84	6831	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	rubiginosa		Aechmea rubiginosa	Species	Mez	
urn:catalog:UWP:BIGU:88455	88455	University of White Plains	Marulanda O	1	1990	1	29	1990-1-29	Guatemala	GT	Petén	17.1685512	-89.6749040	Flores	Afluente del río Dormilón	300	WGS84	2426	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tillandsioides		Aechmea tillandsioides	Species	(E. Morren ex Mez) L.B. Sm.	
urn:catalog:UWP:BIGU:168146	168146	University of White Plains	Trujillo P	1	2009	1	30	2009-1-30	Guatemala	GT	Petén	17.7216042	-90.0628680	San Andres	Roadside in the city	32	WGS84	1530	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Catopsis	sessiliflora		Catopsis sessiliflora	Species	(Ruiz & Pav.) Mez	
urn:catalog:UWP:BIGU:83610	83610	University of White Plains	Betancur J	1	1990	1	31	1990-1-31	Guatemala	GT	Petén	17.6103945	-90.7367422	San Andres	Finca Teodorito	260	WGS84	3629	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mertensii		Aechmea mertensii	Species	(G. Mey.) Schult. & Schult. f.	
urn:catalog:UWP:BIGU:83611	83611	University of White Plains	Betancur J	1	1990	1	31	1990-1-31	Guatemala	GT	Petén	17.6192178	-90.0253363	San Andres	Francia-Chipre	260	WGS84	3629	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	mertensii		Aechmea mertensii	Species	(G. Mey.) Schult. & Schult. f.	
urn:catalog:UWP:BIGU:160033	160033	University of White Plains	Vargas I	1	1999	1		1999-1-	Guatemala	GT	Petén	17.1534032	90.52264564	La Libertad	Barrio Medrano	350	WGS84	1844	Vargas W.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Greigia			Greigia	Genus		
urn:catalog:UWP:BIGU:160034	160034	University of White Plains	Vargas I	1	1999	1		1999-1-	Guatemala	GT	Petén	17.1587754	-90.4551085	La Libertad	Barrio Oneti	350	WGS84	1844	Vargas W.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Greigia			Greigia	Genus		
urn:catalog:UWP:BIGU:86560	86560	University of White Plains	Betancur J	1	1990	2	1	1990-2-1	Guatemala	GT	Petén	17.5036894	-90.2517585	San Andres	Río Chinchiná	255	WGS84	5497	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tillandsioides		Aechmea tillandsioides	Species	(E. Morren ex Mez) L.B. Sm.	Mayo
urn:catalog:UWP:BIGU:86561	86561	University of White Plains	Betancur J	1	1990	2	1	1990-2-1	Guatemala	GT	Petén	17.5094837	-90.2983051	San Andres	Río Cimitarra	255	WGS84	5497	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	tillandsioides		Aechmea tillandsioides	Species	(E. Morren ex Mez) L.B. Sm.	Mayo
urn:catalog:UWP:BIGU:87745	87745	University of White Plains	Marulanda O	1	1990	2	2	1990-2-2	Guatemala	GT	Petén	17.7243062	-89.3706422	Flores	Barrio Fátima	310	WGS84	13172	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	stenosepala		Aechmea stenosepala	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:87746	87746	University of White Plains	Marulanda O	1	1990	2	2	1990-2-2	Guatemala	GT	Petén	17.7481732	-89.5426597	Flores	Barrio Marcella	310	WGS84	13172	Marulanda O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	stenosepala		Aechmea stenosepala	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:178938	178938	University of White Plains	Clavijo L	1	2004	2	3	2004-2-3	Guatemala	GT	Petén	17.4306479	-90.1144083	San Andres	Carare Opón, Las Colonias	200	WGS84	8224	Giraldo F.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae	Panicum	pilosum		Panicum pilosum	Species	Sw.	
urn:catalog:UWP:BIGU:27759	27759	University of White Plains	Vargas I	1	1986	2	4	1986-2-4	Guatemala	GT	Petén	17.1562907	89.40951285	Flores	Loma Chimbolo	260	WGS84	1226	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	coriostachya		Guzmania coriostachya	Species	(Griseb.) Mez	
urn:catalog:UWP:BIGU:27770	27770	University of White Plains	Vargas I	1	1986	2	4	1986-2-4	Guatemala	GT	Petén	17.1619292	89.41148184	Flores	Loma del Chocho, finca Maribel	260	WGS84	1226	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	coriostachya		Guzmania coriostachya	Species	(Griseb.) Mez	
urn:catalog:UWP:BIGU:4619	4619	University of White Plains	Soejarto D	1	1972	2	5	1972-2-5	Guatemala	GT	Petén	17.5720770	-89.7648733	San Jose	Cerca de Mitú	500	WGS84	2572	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Billbergia	ambigua		Billbergia ambigua	Species	(L.B. Sm. & Read) Betancur & N.R. Salinas	
urn:catalog:UWP:BIGU:172022	172022	University of White Plains	Vargas I	1	2009	2	7	2009-2-7	Guatemala	GT	Petén	17.5995834	-89.1693550	Melchor de Mencos	Cuenca del río San Francisco	186	WGS84	653	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Racinaea	schumanniana		Racinaea schumanniana	Species	(Wittm.) J.R. Grant	Cardo
urn:catalog:UWP:BIGU:172021	172021	University of White Plains	Vargas I	1	2009	2	8	2009-2-8	Guatemala	GT	Petén	17.5483523	-90.2859345	San Andres	Finca San Agustín	186	WGS84	704	López N.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Racinaea	crispa		Racinaea crispa	Species	(Baker) M.A. Spencer & L.B. Sm.	Cardo, corrugado
urn:catalog:UWP:BIGU:63395	63395	University of White Plains	MacDougal J	1	1989	2	10	1989-2-10	Guatemala	GT	Petén	17.3031449	89.37348775	Flores	Arroyo Tabaco	162	WGS84	4046	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	veitchii		Aechmea veitchii	Species	Baker	
urn:catalog:UWP:BIGU:186889	186889	University of White Plains	Trujillo P	1	2010	2	10	2010-2-10	Guatemala	GT	Petén	17.1746428	-90.1325820	San Andres	Cabeceras río Tuadó	350	WGS84	2820	Molina D.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae				Poaceae	Family		
urn:catalog:UWP:BIGU:186987	186987	University of White Plains	Trujillo P	1	2010	2	11	2010-2-11	Guatemala	GT	Petén	17.2065912	-90.0783725	San Andres	Cabrera, quebrada Duarte	350	WGS84	2820	Molina D.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae				Poaceae	Family		
urn:catalog:UWP:BIGU:187036	187036	University of White Plains	Trujillo P	1	2010	2	12	2010-2-12	Guatemala	GT	Petén	17.2134259	-90.2306487	San Andres	Cachicamos	350	WGS84	2820	Molina D.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Tillandsia	juncea		Tillandsia juncea	Species	(Ruiz & Pav.) Poir.	
urn:catalog:UWP:BIGU:3295	3295	University of White Plains	Soejarto D	1	1971	2	12	1971-2-12	Guatemala	GT	Petén	17.5238526	-89.8696467	San Jose	Km 17 of road Nutibara, Tikili	500	WGS84	1930	Botero L.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	penduliflora		Aechmea penduliflora	Species	André	
urn:catalog:UWP:BIGU:83631	83631	University of White Plains	Callejas R	1	1991	2	13	1991-2-13	Guatemala	GT	Petén	17.2889540	-90.6705137	La Libertad	Barrio Santa Mónica	197	WGS84	9763	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:83632	83632	University of White Plains	Callejas R	1	1991	2	13	1991-2-13	Guatemala	GT	Petén	17.185997.	9.31594233	Melchor de Mencos	Base cerro Quinini	197	WGS84	9763	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:83633	83633	University of White Plains	Callejas R	1	1991	2	13	1991-2-13	Guatemala	GT	Petén	17.1896910	-89.2414457	Melchor de Mencos	Base del cerro Torra, camino hacia el río Surema	197	WGS84	9763	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	diffusa		Guzmania diffusa	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:3578	3578	University of White Plains	Soejarto D	1	1973	2	13	1973-2-13	Guatemala	GT	Petén	17.5898156	-89.8465664	San Jose	Cerca de Mondomo	400	WGS84	2763	Medina N.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae	Agrostis	foliata		Agrostis foliata	Species	Hook. f.	
urn:catalog:UWP:BIGU:62628	62628	University of White Plains	MacDougal J	1	1989	2	14	1989-2-14	Guatemala	GT	Petén	17.1685512	-89.6749040	Flores	Afluente del río Dormilón	122	WGS84	7167	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	veitchii		Aechmea veitchii	Species	Baker	
urn:catalog:UWP:BIGU:62629	62629	University of White Plains	MacDougal J	1	1989	2	14	1989-2-14	Guatemala	GT	Petén	17.1702132	-89.6996161	Flores	Antena cerca de Santa Cruz	122	WGS84	7167	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	veitchii		Aechmea veitchii	Species	Baker	
urn:catalog:UWP:BIGU:187048	187048	University of White Plains	Vargas I	1	2012	2	14	2012-2-14	Guatemala	GT	Petén	17.5210947	-89.6328679	Flores	Cerro Juaica	300	WGS84	36716	Díaz O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae	Olyra	latifolia		Olyra latifolia	Species	L.	
urn:catalog:UWP:BIGU:187314	187314	University of White Plains	Vargas I	1	2012	2	14	2012-2-14	Guatemala	GT	Petén	17.5124396	-89.6279568	Flores	Cerro El Sabanazo	300	WGS84	36716	Díaz O.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae	Lasiacis	divaricata		Lasiacis divaricata	Species	(L.) Hitchc.	
urn:catalog:UWP:BIGU:75258	75258	University of White Plains	Callejas R	1	1991	2	15	1991-2-15	Guatemala	GT	Petén	17.6750089	-90.6609383	San Andres	Granja Montelindo	514	WGS84	10531	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Hohenbergia	andina		Hohenbergia andina	Species	Betancur	
urn:catalog:UWP:BIGU:75259	75259	University of White Plains	Callejas R	1	1991	2	15	1991-2-15	Guatemala	GT	Petén	17.6844351	90.3421603	San Andres	Granjas del Padre Luna, orillas del río Dulce	514	WGS84	10531	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Hohenbergia	andina		Hohenbergia andina	Species	Betancur	
urn:catalog:UWP:BIGU:75260	75260	University of White Plains	Callejas R	1	1991	2	15	1991-2-15	Guatemala	GT	Petén	17.6908309	-90.6137227	San Andres	Gutiérrez a Fosca, río Sáname	514	WGS84	10531	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Hohenbergia	andina		Hohenbergia andina	Species	Betancur	
urn:catalog:UWP:BIGU:86398	86398	University of White Plains	Callejas R	1	1991	2	15	1991-2-15	Guatemala	GT	Petén	17.6714453	-90.3115491	San Andres	Granja Don Benito	514	WGS84	10531	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Aechmea	magdalenae		Aechmea magdalenae	Species	(André) André ex Baker	
urn:catalog:UWP:BIGU:172035	172035	University of White Plains	Vargas I	1	2009	2	15	2009-2-15	Guatemala	GT	Petén	17.6856769	-89.7169020	Flores	Chaparraidó, cerca de Tutunendo	160	WGS84	866	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Pitcairnia	maidifolia		Pitcairnia maidifolia	Species	(C. Morren) Decne. ex Planch.	
urn:catalog:UWP:BIGU:172036	172036	University of White Plains	Vargas I	1	2009	2	15	2009-2-15	Guatemala	GT	Petén	17.7200355	-89.3510901	Flores	Ciénaga de Ayapel - Finca Mi Ranchito, casco urbano	160	WGS84	866	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Pitcairnia	maidifolia		Pitcairnia maidifolia	Species	(C. Morren) Decne. ex Planch.	
urn:catalog:UWP:BIGU:80236	80236	University of White Plains	Callejas R	1	1991	2	16	1991-2-16	Guatemala	GT	Petén	17.7889854	-89.7606741	San Jose	Yuto - Jampapa, carretera Panamericana	208	WGS84	9763	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	laeta		Guzmania laeta	Species	H. Luther	
urn:catalog:UWP:BIGU:80237	80237	University of White Plains	Callejas R	1	1991	2	16	1991-2-16	Guatemala	GT	Petén	17.7946672	-89.8800209	San Jose	Zaragoza - El Bagre	208	WGS84	9763	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Guzmania	laeta		Guzmania laeta	Species	H. Luther	
