Cat. Numb.;University;Collector;No. of spec.;YE;MO;DA;Country col.;countryCode;stateProvince;lat;lon;County;Locality col.;Elevation;geodeticDatum;coordinate Uncertainty;identifiedBy;typeStatus;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;Full name;taxonRank;Authorship;Other name
UWP:104512;University of Guatemala;Callejas R;1;1995;7;21;Guatemala;GT;Petén;17.7200355;-89.3510901;Flores;Barrio El Silencio;240;WGS84;6514;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Racinaea;michelii;;Racinaea michelii;Species;(Mez) M.A. Spencer & L.B. Sm.;
UWP:105292;University of Guatemala;Acevedo P;1;1994;9;7;Guatemala;GT;Petén;17.3187987;-89.9058103;San Jose;Santagueda. granja Montelindo;0;WGS84;2820;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:106768;University of Guatemala;Vargas I;1;1997;4;18;Guatemala;GT;Petén;17.661793;-89.4056627;Flores;Cerro San José;145;WGS84;1771;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania  lingulata;Species;(L.) Mez;
UWP:107441;University of Guatemala;González F;1;1993;4;19;Guatemala;GT;Petén;17.3892055;-89.7275;Flores;Autopista norte. parque de Bello y Copacabana;170;WGS84;1745;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;nutans;;Catopsis nutans;Species;(Sw.) Griseb.;
UWP:108120;University of Guatemala;Vargas I;1;1997;4;18;Guatemala;GT;Petén;17.6569118;-89.6001739;Flores;Cerro Quitasol;143;WGS84;1771;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;angustifolia;;Guzmania angustifolia;Species;(Baker) Wittm.;
UWP:108607;University of Guatemala;Fonnegra R;1;1997;11;12;Guatemala;GT;Petén;17.5094837;-90.2983051;San Andres;Finca Maizopolis. below páramo de Chili;173;WGS84;2842;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;angustifolia;;Guzmania angustifolia;Species;(Baker) Wittm.;
UWP:108631;University of Guatemala;Fonnegra R;1;1997;11;10;Guatemala;GT;Petén;17.4863769;-90.5676366;SanAndres;Finca en cercanías de Belmira;210;WGS84;2842;Betancur J.;;Plants;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;veitchii;;Aechmea veitchii;Species;Baker;
UWP:108632;University of Guatemala;Fonnegra R;1;1997;11;10;Guatemala;GT;Petén;17.4882065;-90.0195979;San Andres;Finca Los Cedros;210;WGS84;2842;Betancur J.;;Plants;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;veitchii;;Aechmea veitchii;Species;Baker;
UWP:110071;University of Guatemala;Vargas I;1;1997;4;20;Guatemala;GT;Petén;17.6674466;-89.3494615;Flores;Cerros de Suba;140;WGS84;1771;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:111004;University of Guatemala;Idárraga A;1;1996;4;3;Guatemala;GT;Petén;17.6971609;-90.6989102;San Andres;Hacienda Berlín;340;WGS84;2606;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania  lingulata;Species;(L.) Mez;
UWP:111383;University of Guatemala;Betancur J;1;1997;10;7;Guatemala;GT;Petén;17.7946672;-89.8800209;San Jose;Cerca de Santander de Quilichao;118;WGS84;1163;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;graminifolia;;Guzmania graminifolia;Species;(André ex Baker) L.B. Sm.;
UWP:113512;University of Guatemala;Vargas I;1;1998;9;12;Guatemala;GT;Petén;17.4543448;-89.6237693;Flores;Cerro El Capiro;150;WGS84;3049;Díaz O.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Pariana;swallenii;;Pariana swallenii;Species;R.C. Foster;
UWP:115089;University of Guatemala;Callejas R;1;1999;8;6;Guatemala;GT;Petén;17.7783778;90.84424953;San Andres;Hacienda San Diego;292;WGS84;5332;Callejas R.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Greigia;danielii;;Greigia danielii;Species;L.B. Sm.;
UWP:115381;University of Guatemala;Callejas R;1;1999;8;6;Guatemala   ;GT;Petén;17.7795212;-90.1066629;Andressan;Hacienda San Julián;292;WGS84;5332;Morales J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
UWP:115382;University of Guatemala;Callejas R;1;1999;8;6;Guatemala   ;GT;Petén;17.788847;-90.0136721;San Anders;Hacienda Santa María Ite;292;WGS84;5332;Morales J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
UWP:11561;University of Guatemala;Vargas I;1;1979;1;12;Guatemala;GT;Petén;17.3098632;-89.7846692;San Jose;Inspección El Capricho;100;WGS84;1530;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:11571;University of Guatemala;Vargas I;1;1979;1;11;Guatemala;GT;Petén;17.5995834;-89.169355;Melchor de Mencos;Bosque de El Ocaso;250;WGS84;6030;"Forero E.; Gentry A.";;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;tonduzii;;Aechmea tonduzii;Species;Mez & Pittier ex Mez;
UWP:115953;University of Guatemala;Vargas I;1;1996;4;18;Guatemala   ;GT;Petén;17.6636186;-90.9257567;San Andres;Granja de Chinchiná;235;WGS84;4824;Correa E.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
UWP:11599;University of Guatemala;Vargas I;1;1979;1;11;Guatemala;GT;Petén;17.6719406;-89.2924027;Melchor de Mencos;Bosque de San Rafael. cerca de Parque Puracé;250;WGS84;6030;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania  lingulata;Species;(L.) Mez;
UWP:11638;University of Guatemala;Mercado J;1;1978;3;17;Guatemala;GT;Petén;17.2446118;-89.2133292;Mencos de Melchor;Confluencia Caño Perdido-Río Losada;211;WGS84;1626;Medina N.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Polypogon;;;Polypogon;Genus;;
UWP:116523;University of Guatemala;Vargas I;1;1998;8;;Guatemala;GT;Petén;"5° 35' 12"" N";"75° 46' 18"" W";Flores;Lorenzo Arriba;150;WGS84;1507;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;contracta;;Aechmea contracta;Species;(Mart. ex Schult. f.) Baker;
UWP:116524;University of Guatemala;Vargas I;1;1998;8;;Guatemala;GT;Petén;"5° 35' 12"" N";"75° 46' 18"" W";Flores;Los Hornitos;150;WGS84;1507;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;contracta;;Aechmea contracta;Species;(Mart. ex Schult. f.) Baker;
UWP:116525;University of Guatemala;Vargas I;1;1998;8;;Guatemala;GT;Petén;"7° 18' 10.12"" N";"75° 04' 25.03"" W";Flores;Lote en las afueras del pueblo;150;WGS84;1507;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;tillandsioides;;Aechmea tillandsioides;Species;(Mart. ex Schult. & Schult. f.) Baker;
UWP:116539;University of Guatemala;Callejas R;1;1999;10;9;Guatemala;GT;Petén;17.7783778;90.84424953;San Andres;Hacienda San Diego;30;WGS84;5273;Idárraga A.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Lasiacis;sorghoidea;;Lasiacis sorghoidea;Species;(Desv. ex Ham.) Hitchc. & Chase;
UWP:117325;University of Guatemala;Vargas I;1;1999;7;13;Guatemala;GT;Petén;17.6719406;-89.2924027;Melchor de Mencos;De Fomeque a Chingaza;400;WGS84;2006;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania  lingulata;Species;(L.) Mez;
UWP:117538;University of Guatemala;Fonnegra R;1;1999;OCT;22;Guatemala;GT;Petén;17.4666948;-89.9835948;San Andres;Región San Diego;200;WGS84;2054;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;servitensis;;Aechmea servitensis;Species;André;
UWP:117539;University of Guatemala;Fonnegra R;1;1999;OCT;22;Guatemala;GT;Petén;17.4696597;-90.5694044;San Andres;Ricaurte - Piedrancha - Chucunés. carretera Pasto-Tumaco;200;WGS84;2054;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;servitensis;;Aechmea servitensis;Species;André;
UWP:117611;University of Guatemala;Fonnegra R;1;1999;10;20;Guatemala;GT;Petén;17.7216042;-90.062868;San Andres;Roadside in the city;170;WGS84;2918;Davidse G.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Lasiacis;procerrima;;Lasiacis procerrima;Species;(Hack.) Hitchc.;
UWP:117612;University of Guatemala;Fonnegra R;1;1999;10;20;Guatemala;GT;Petén;17.7327602;-90.0826677;San Andres;S of Jardín in S part of department;170;WGS84;2918;Davidse G.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Lasiacis;procerrima;;Lasiacis procerrima;Species;(Hack.) Hitchc.;
UWP:119070;University of Guatemala;Elsa P;1;1993;7;22;Guatemala;GT;Petén;17.7644319;-90.1554514;San Andres;Hacienda Playa Larga;500;WGS84;7737;Fernández J.L.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Rapateaceae;Guacamaya;superba;;Guacamaya superba;Species;Maguire;Flor de Inírida
UWP:11986;University of Guatemala;Rentería E;1;1980;6;18;Guatemala;17.3857972;Petén;17.1793889;-90.8080889;La Libertad;Barrio Oneti margen izquierda del río Jella;330;WGS84;35931;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;pubescens;;Aechmea pubescens;Species;Baker;Penca
UWP:11987;University of Guatemala;Rentería E;1;1980;6;19;Guatemala;GT;Petén;17.1963867;-90.3307486;La Libertad;Barrio San Antonio;330;WGS84;35931;Jaramillo R.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Cyperaceae;Eleocharis;elegans;;Eleocharis elegans;Species;(Kunth) Roem. & Schult.;
UWP:121010;University of Guatemala;Vargas I;1;1998;8;24;Guatemala;GT;Petén;17.2889942;-90.7805587;San Andres;El Manicomio;110;WGS84;741;Vargas W.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:121274;University of Guatemala;Velásquez P;1;1997;12;29;Guatemala;GT;Petén;17.3187987;-89.9058103;San Jose;Santagueda. granja Montelindo;110;WGS84;1260;Velásquez C.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:121879;University of Guatemala;Vargas I;1;2000;9;17;Guatemala;GT;Petén;17.5420846;-90.0802581;San Andres;Carretera a San Martín de Purré;240;WGS84;263;Patiño A.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Greigia;danielii;;Greigia danielii;Species;L.B. Sm.;
UWP:121913;University of Guatemala;Vargas I;1;1998;7;23;Guatemala;GT;Petén;17.341174;-90.6223826;San Andres;El Retiro-Chicó. cerca de Bogotá;330;WGS84;1413;Vargas W.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;confinis;;Guzmania confinis;Species;L.B. Sm.;
UWP:122274;University of Guatemala;Benavides A;1;1997;6;;Guatemala   ;GT;Petén;17.4306479;-90.1144083;San Andres;Finca El Carajito;250;WGS84;1770;Benavides J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
UWP:122329;University of Guatemala;Vargas I;1;2000;5;24;Guatemala;GT;Petén;17.2687234;-89.4401353;Flores;Arroyo Kutamahana. cerca de Uribia;120;WGS84;15762;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:122471;University of Guatemala;Vargas P;1;2000;5;23;Guatemala;GT;Petén;"6° 4' 20.210"" N";"75° 38' 20.440"" W";La Libertad;Barrio Oneti;514;WGS84;1190;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;servitensis;;Aechmea servitensis;Species;André;
UWP:122471;University of Guatemala;Vargas I;1;2000;5;23;Guatemala;GT;Petén;17.1793889;-90.8080889;La Libertad;Barrio Oneti margen izquierda del río Jella;514;WGS84;1190;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;servitensis;;Aechmea servitensis;Species;André;
UWP:122482;University of Guatemala;Vargas I;1;2000;5;24;Guatemala;GT;Petén;"6° 37' 1.7"" N";"75° 39' 6.8"" W";La Libertad;Barrio Medrano;514;WGS84;699;Jaramillo R.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Cyperaceae;Eleocharis;elegans;;Eleocharis elegans;Species;(Kunth) Roem. & Schult.;
UWP:123176;University of Guatemala;Vargas I;1;1998;3;;Guatemala;GT;Petén;17.7243062;-89.3706422;Flores;Páramo de San Pedro. arriba de Totoró;240;WGS84;3016;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Racinaea;michelii;;Racinaea michelii;Species;(Mez) M.A. Spencer & L.B. Sm.;
UWP:124811;University of Guatemala;Vargas I;1;1999;8;22;Guatemala;GT;Petén;"6° 37' 1.7"" N";"75° 39' 6.8"" W";La Libertad;Ciénaga de Jotaudo;514;WGS84;1423;Rivas A.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;tillandsioides;;Aechmea tillandsioides;Species;(Mart. ex Schult. & Schult. f.) Baker;
UWP:12486;University of Guatemala;Vargas I;1;1981;6;16;Guatemala;GT;Petén;17.6714453;-90.3115491;San Andres;Río Rosario;141;WGS84;12884;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;tonduzii;;Aechmea tonduzii;Species;Mez & Pittier ex Mez;
UWP:124894;University of Guatemala;Vargas I;1;1999;6;11;Guatemala;GT;Petén;17.2255308;-90.9144835;La Libertad;Barrio San Judas;514;WGS84;1190;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:12672;University of Guatemala;Vargas I;1;1981;6;20;Guatemala;GT;Petén;"17° 40' 30"" N";"90° 39' 39"" W";San Andres;Granja Montelindo;315;WGS84;1768;Díaz O.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Eriocaulaceae;Paepalanthus;alpestris;;Paepalanthus alpestri;Species;(Körn.) Tissot-Squalli;
UWP:129955;University of Guatemala;Vargas I;1;1999;8;29;Guatemala;GT;Petén;17.4265141;-90.9187414;San Andres;Cañón del río Chicamocha;43;WGS84;2538;Gómez A.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Eleusine;indica;;Eleusine indica;Species;(L.) Gaertn.;Grama de matojo
UWP:132922;University of Guatemala;Vargas I;1;1999;3;26;Guatemala;GT;Petén;17.373889;0.17318494;San Andres;Canteras de Cementos del Nare S.A.;368;WGS84;1861;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Greigia;vulcanica;;Greigia vulcanica;Species;André;
UWP:13494;University of Guatemala;Hernández M;1;1981;12;3;Guatemala;GT;Petén;17.4715014;-90.7111793;San Andres;Finca El Páramo;500;WGS84;1600;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;tillandsioides;;Aechmea tillandsioides;Species;(E. Morren ex Mez) L.B. Sm.;
UWP:135891;University of Guatemala;Vargas I;1;2001;6;15;Guatemala;GT;Petén;17.4666948;-89.9835948;San Andres;Carretera a Choachi;514;WGS84;844;"Correa M.; Duque A.";;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:137159;University of Guatemala;Vargas I;1;2015;;;Guatemala;GT;Petén;17.7468511;-89.9212555;San Andres;Carretera Olaya - Liborina;514;WGS84;183;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:137773;University of Guatemala;Vargas I;1;1998;12;10;Guatemala;GT;Petén;17.6750089;-90.6609383;San Andres;Río San Juan. debajo de Andagoya;170;WGS84;413;Aguirre J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Ronnbergia;maidifolia;;Ronnbergia maidifolia;Species;Mez;
UWP:138172;University of Guatemala;Vargas I;1;2000;9;27;Guatemala;GT;Petén;17.2255308;-90.9144835;La Libertad;Parque de Las Orquídeas;;WGS84;144;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:140135;University of Guatemala;Fonnegra R;1;2004;2;19;Guatemala;GT;Petén;17.7172852;-90.3207015;San Andres;Hacienda El Cairo;220;WGS84;1049;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;longicuspis;;Aechmea longicuspis;Species;Baker;
UWP:141639;University of Guatemala;Vargas I;1;2001;10;2;Guatemala;GT;Petén;17.5124396;-89.6279568;Flores;Orillas del río Caguán en las afueras del pueblo;214;WGS84;2280;Gómez A.;;Plants;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;veitchii;;Aechmea veitchii;Species;Baker;
UWP:144625;University of Guatemala;Betancur J;1;1999;9;11;Guatemala;GT;Petén;17.6908309;-90.6137227;San Andres;Gutiérrez a Fosca. río Sáname;150;WGS84;1004;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:144779;University of Guatemala;Betancur J;1;2003;3;19;Guatemala;GT;Petén;17.5546708;-89.2422108;Melchor de Mencos;Cuenca del río Buey;500;WGS84;3577;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Sequencia;serrata;;Sequencia serrata;Species;(L.B. Sm.) Givnish;
UWP:144787;University of Guatemala;Betancur J;1;2003;3;19;Guatemala;GT;Petén;17.5995834;-89.169355;Melchor de Mencos;Cuenca del río San Francisco;500;WGS84;3577;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Sequencia;serrata;;Sequencia serrata;Species;(L.B. Sm.) Givnish;
UWP:144788;University of Guatemala;Betancur J;1;2003;3;19;Guatemala;GT;Petén;17.6719406;-89.2924027;Melchor de Mencos;De Fomeque a Chingaza;500;WGS84;3577;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Sequencia;serrata;;Sequencia serrata;Species;(L.B. Sm.) Givnish;
UWP:144925;University of Guatemala;Betancur J;1;2002;6;28;Guatemala;GT;Petén;17.5898156;-89.8465664;San Jose;Subpáramo de Sumapaz;260;WGS84;3651;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;brevicollis;;Aechmea brevicollis;Species;L.B. Sm.;
UWP:146735;University of Guatemala;Fonnegra R;1;2005;2;28;Guatemala;GT;Petén;17.4072073;-90.0487179;San Andres;Quebrada Los Retiros;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146736;University of Guatemala;Fonnegra R;1;2005;2;28;Guatemala;GT;Petén;17.4100571;-90.5962145;San Andres;Quebrada Naim;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146737;University of Guatemala;Fonnegra R;1;2005;2;28;Guatemala;GT;Petén;17.4114231;90.18308898;San Andres;Quebrada Quebradona;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146837;University of Guatemala;Fonnegra R;1;2005;3;3;Guatemala;GT;Petén;17.4863769;-90.5676366;San Andres;Río Cahuinarí;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146838;University of Guatemala;Fonnegra R;1;2005;3;3;Guatemala;GT;Petén;17.4882065;-90.0195979;San Andres;Río Caquetá;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146839;University of Guatemala;Fonnegra R;1;2005;3;3;Guatemala;GT;Petén;17.5036894;-90.2517585;San Andres;Río Chinchiná;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:146840;University of Guatemala;Fonnegra R;1;2005;3;3;Guatemala;GT;Petén;17.5094837;-90.2983051;San Andres;Río Cimitarra;70;WGS84;4444;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;dactylina;;Aechmea dactylina;Species;Baker;
UWP:147333;University of Guatemala;Vargas I;1;2003;8;20;Guatemala;GT;Petén;17.7783778;90.84424953;San Andres;Hacienda San Diego;154;WGS84;666;Vélez J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Cyperaceae;cyperus;diffusus;;Cyperus diffusus;Species;Vahl;
UWP:147420;University of Guatemala;Betancur J;1;2003;3;20;Guatemala;GT;Petén;17.5343787;-90.5469105;San Andres;Finca Quijano;380;WGS84;1006;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;contracta;;Aechmea contracta;Species;(Mart. ex Schult. f.) Baker;
UWP:148288;University of Guatemala;Velásquez P;1;2000;5;12;Guatemala;GT;Petén;17.2462996;-89.9118402;San Jose;Carretera Sonsón - Los Medios;210;WGS84;945;Cogollo A.;;Plants;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;veitchii;;Aechmea veitchii;Species;Baker;
UWP:148445;University of Guatemala;Vargas I;1;2002;2;21;Guatemala;GT;Petén;17.4623564;-90.2182218;San Andres;Región Carare - Opón;18;WGS84;2295;Aguirre J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;nudicaulis;;Aechmea nudicaulis;Species;(L.) Griseb.;
UWP:148603;University of Guatemala;Vargas I;1;2002;2;22;Guatemala;GT;Petén;17.4696597;-90.5694044;San Andres;Ricaurte - Piedrancha - Chucunés. carretera Pasto-Tumaco;18;WGS84;2943;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Aechmea;pubescens;;Aechmea pubescens;Species;Baker;
